scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,error,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
decay,short,200,Exponential,93,5,"",4000,1,0,0,3,1387,0.34675,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,94,6,"",4000,1,0,0,3,1285,0.32125,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,95,7,"",4000,1,2,5e-04,3,1319,0.32975,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,96,8,"",4000,1,4,0.001,3,1507,0.37675,2.7,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,97,9,"",4000,1,0,0,3,1483,0.37075,2.7,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,98,10,"",4000,1,0,0,3,1611,0.40275,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,99,11,"",4000,1.01,432,0.108,4,445,0.11125,4.9,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,100,12,"",4000,1,346,0.0865,4,99,0.02475,3.3,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,101,13,"",4000,1,0,0,3,1415,0.35375,2.5,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,102,14,"",4000,1,0,0,3,1318,0.3295,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,103,15,"",4000,1,0,0,3,1612,0.403,2.5,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,104,16,"",4000,1,0,0,3,1498,0.3745,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,105,17,"",4000,1,0,0,3,1538,0.3845,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,106,18,"",4000,1,0,0,3,1394,0.3485,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,107,19,"",4000,1,1,0.00025,3,1465,0.36625,2.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,108,20,"",4000,1,0,0,3,1353,0.33825,2.3,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
early outbreak,long,10,Outbreak,1,1,"",4000,1.01,6,0.0015,6,2,5e-04,0.9,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",,
early outbreak,long,100,Outbreak,13,1,"",4000,1,0,0,4,104,0.026,1.1,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",,
early outbreak,long,200,Outbreak,25,1,"",4000,1,0,0,4,178,0.0445,1.6,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",,
early outbreak,long,400,Outbreak,37,1,"",4000,1,0,0,4,130,0.0325,2.4,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",,
early outbreak,medium,10,Outbreak,2,1,"",4000,1.01,15,0.00375,6,1,0.00025,1,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",,
early outbreak,medium,100,Outbreak,14,1,"",4000,1,0,0,3,1676,0.419,1,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",,
early outbreak,medium,200,Outbreak,26,1,"",4000,1,0,0,4,89,0.02225,1.5,Dynamical and censoring adjusted,"",15,1,early outbreak (day 15),1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",,
