scenario,distribution,sample_size,data_type,id,replicate,obs_type
stable,long,200,exponential,280,4,
stable,long,200,exponential,281,5,
stable,long,200,exponential,282,6,
stable,long,200,exponential,283,7,
stable,long,200,exponential,284,8,
stable,long,200,exponential,285,9,
stable,long,200,exponential,286,10,
stable,long,200,exponential,287,11,
stable,long,200,exponential,288,12,
stable,long,200,exponential,289,13,
stable,long,200,exponential,290,14,
stable,long,200,exponential,291,15,
stable,long,200,exponential,292,16,
stable,long,200,exponential,293,17,
stable,long,200,exponential,294,18,
stable,long,200,exponential,295,19,
stable,long,200,exponential,296,20,
stable,medium,200,exponential,297,1,
stable,medium,200,exponential,298,2,
stable,medium,200,exponential,299,3,
stable,medium,200,exponential,300,4,
stable,medium,200,exponential,301,5,
stable,medium,200,exponential,302,6,
stable,medium,200,exponential,303,7,
stable,medium,200,exponential,304,8,
stable,medium,200,exponential,305,9,
stable,medium,200,exponential,306,10,
stable,medium,200,exponential,307,11,
stable,medium,200,exponential,308,12,
stable,medium,200,exponential,309,13,
stable,medium,200,exponential,310,14,
stable,medium,200,exponential,311,15,
stable,medium,200,exponential,312,16,
stable,medium,200,exponential,313,17,
stable,medium,200,exponential,314,18,
stable,medium,200,exponential,315,19,
stable,medium,200,exponential,316,20,
stable,short,200,exponential,317,1,
