"mean","sd","median","p95"
15.274,10.771,12.663,36.242
12.344,6.5155,11.189,24.309
11.445,6.5789,10.204,24.314
11.648,7.035,10.243,24.826
11.552,5.6099,10.648,23.36
12.259,6.4754,11.274,24.907
13.022,6.7791,11.534,25.596
12.554,8.9384,10.552,29.897
10.123,5.1223,9.3321,18.974
11.01,5.7706,10.072,21.964
11.314,6.9533,9.6926,24.754
11.316,5.4786,10.324,21.507
12.715,6.7952,11.476,25.532
13.416,8.2311,11.124,29.924
11.544,6.4565,10.299,23.115
10.872,6.3058,9.638,23.281
11.234,5.7224,10.164,22.003
11.998,6.3055,10.846,23.998
10.816,6.9576,9.3063,24.101
11.509,8.7913,9.2826,28.64
10.496,6.2912,8.9075,22.222
12.228,9.8181,9.6704,31.278
9.9817,5.1473,9.1758,19.098
11.951,6.8355,10.355,25.493
14.501,9.7487,12.795,32.199
13.298,7.6759,11.598,27.093
11.541,7.5175,10.046,26.423
12.362,7.4061,10.92,24.942
14.379,8.2146,12.961,29.494
11.071,6.0806,9.969,22.001
12.595,6.5098,11.428,25.629
11.059,6.0621,9.957,22.11
11.393,6.6188,10.06,24.767
13.197,6.3528,12.196,25.691
10.025,5.4438,9.147,20.814
11.555,6.5934,10.005,23.359
10.84,4.9194,10.274,19.972
9.9093,6.5358,8.5815,23.948
11.369,6.2671,9.8349,22.843
10.036,5.3215,9.1132,20.433
9.6032,4.8653,8.8042,19.271
11.109,5.9684,10.303,21.891
15.361,6.9682,14.626,27.908
12.257,6.4165,11.217,23.983
13.395,6.5828,12.339,24.71
10.318,5.3658,9.6354,20.153
11.915,7.6346,10.449,25.108
13.27,8.5822,11.734,29.629
11.658,6.664,10.29,23.386
12.137,6.8802,10.641,25.755
10.797,5.3056,10.034,20.991
9.7606,5.4951,8.7904,19.695
8.766,4.6498,7.9339,17.773
16.493,9.8533,13.995,35.782
13.663,7.9309,11.924,28.849
12.155,6.2725,10.851,23.99
9.6641,7.586,7.6696,24.791
9.4443,4.7582,8.6302,17.997
11.566,5.7278,10.612,21.728
11.178,6.6886,9.6436,23.183
11.103,6.1572,9.8142,22.356
10.833,6.5432,9.6146,22.729
13.04,7.5905,11.184,27.671
12.697,7.7949,11.165,27.217
10.895,5.9534,9.8581,22.25
9.6615,6.1591,8.6344,20.318
10.738,5.4901,9.5948,21.192
13.41,7.0696,12.375,25.354
11.509,6.3427,10.496,24.864
13.452,7.8201,12.071,27.898
11.331,6.6068,9.9656,23.864
13.407,7.2852,11.987,26.234
11.092,5.8818,9.9848,22.253
11.366,7.2127,9.8606,24.037
12.113,7.0522,10.773,24.55
14.021,7.6504,12.487,28.427
12.366,6.8665,11.014,24.905
11.978,6.3015,10.959,24.096
11.38,6.2509,10.272,23.34
13.865,7.9253,12.476,27.93
11.045,5.6537,10.275,21.564
11.178,6.6307,9.8713,24.001
12.581,6.4778,11.497,24.286
13.766,7.2487,12.412,27.794
10.732,4.6315,10.16,18.942
12.427,6.5845,11.581,23.84
12.035,7.5835,10.464,26.213
12.351,6.9585,11.181,25.604
11.431,5.7766,10.4,21.95
11.365,7.8939,9.8321,26.247
11.104,7.3739,9.489,25.328
13.82,8.0598,12.258,27.994
9.5701,5.5374,8.6293,20.947
14.365,7.6993,13.086,29.037
12.546,7.7426,11.339,27.447
12.106,5.7023,11.082,22.533
10.323,7.475,8.5,25.671
13.504,7.547,12.212,27.071
10.393,4.8089,9.9705,18.606
12.736,8.8437,10.716,28.025
13.076,5.6403,12.023,24.268
