id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
40,fast growth,long,10,exponential,mean,3.9,3.8,2.7,2.9,3.3,3.5,4,4.4,5.3,5.8
40,fast growth,long,10,exponential,sd,2.4,2,1.1,1.2,1.5,1.8,2.4,2.9,4.7,5.7
41,fast growth,medium,10,exponential,meanlog,1.5,1.5,1.2,1.2,1.4,1.4,1.5,1.6,1.7,1.8
41,fast growth,medium,10,exponential,sdlog,0.49,0.47,0.31,0.33,0.39,0.43,0.51,0.58,0.74,0.81
41,fast growth,medium,10,exponential,mean,5.1,4.9,3.7,3.9,4.4,4.6,5.2,5.7,6.9,7.5
41,fast growth,medium,10,exponential,sd,2.8,2.4,1.4,1.5,1.9,2.1,2.8,3.3,5.2,6.6
42,fast growth,short,10,exponential,meanlog,1.1,1.1,0.92,0.97,1.1,1.1,1.2,1.2,1.3,1.4
42,fast growth,short,10,exponential,sdlog,0.33,0.31,0.21,0.22,0.26,0.29,0.35,0.39,0.5,0.56
42,fast growth,short,10,exponential,mean,3.4,3.3,2.7,2.8,3.1,3.2,3.5,3.6,4.1,4.3
42,fast growth,short,10,exponential,sd,1.2,1.1,0.67,0.72,0.86,0.96,1.2,1.4,1.9,2.3
43,stable,long,10,exponential,meanlog,1.8,1.8,1.4,1.5,1.7,1.8,1.9,1.9,2.1,2.2
43,stable,long,10,exponential,sdlog,0.49,0.47,0.31,0.33,0.39,0.43,0.51,0.59,0.75,0.83
43,stable,long,10,exponential,mean,7.1,6.9,5,5.4,6.1,6.5,7.4,8,9.6,10
43,stable,long,10,exponential,sd,3.9,3.4,2,2.1,2.6,3,3.9,4.8,7.4,8.9
44,stable,medium,10,exponential,meanlog,1.8,1.8,1.3,1.4,1.6,1.7,1.8,1.9,2.1,2.2
44,stable,medium,10,exponential,sdlog,0.62,0.58,0.39,0.41,0.48,0.54,0.64,0.73,0.96,1.1
44,stable,medium,10,exponential,mean,7.5,7.1,4.8,5.1,6,6.5,7.7,8.6,11,13
44,stable,medium,10,exponential,sd,5.9,4.5,2.4,2.6,3.3,3.8,5.2,6.7,12,17
45,stable,short,10,exponential,meanlog,1,1,0.65,0.72,0.87,0.95,1.1,1.2,1.3,1.4
45,stable,short,10,exponential,sdlog,0.57,0.54,0.36,0.38,0.44,0.49,0.6,0.67,0.84,0.93
45,stable,short,10,exponential,mean,3.4,3.2,2.3,2.5,2.8,3,3.5,3.9,4.7,5.1
