id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
26,early outbreak,medium,1000,outbreak,mean,5.2,5.2,4.7,4.8,5,5.1,5.3,5.5,5.8,5.9
26,early outbreak,medium,1000,outbreak,sd,3.1,3,2.5,2.6,2.8,2.9,3.2,3.4,3.8,4
27,early outbreak,short,1000,outbreak,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2
27,early outbreak,short,1000,outbreak,sdlog,0.35,0.35,0.32,0.32,0.33,0.34,0.35,0.36,0.37,0.38
27,early outbreak,short,1000,outbreak,mean,3.5,3.5,3.3,3.4,3.4,3.4,3.5,3.5,3.6,3.6
27,early outbreak,short,1000,outbreak,sd,1.2,1.2,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4
28,late outbreak,long,1000,outbreak,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8
28,late outbreak,long,1000,outbreak,sdlog,0.82,0.82,0.77,0.78,0.8,0.81,0.83,0.84,0.86,0.87
28,late outbreak,long,1000,outbreak,mean,8.4,8.4,7.8,7.9,8.1,8.2,8.5,8.7,8.9,9.1
28,late outbreak,long,1000,outbreak,sd,8.2,8.2,7.2,7.3,7.7,7.9,8.4,8.7,9.2,9.4
29,late outbreak,medium,1000,outbreak,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
29,late outbreak,medium,1000,outbreak,sdlog,0.59,0.59,0.56,0.57,0.58,0.59,0.6,0.6,0.62,0.62
29,late outbreak,medium,1000,outbreak,mean,6,6,5.7,5.8,5.9,5.9,6,6.1,6.2,6.2
29,late outbreak,medium,1000,outbreak,sd,3.9,3.9,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2
30,late outbreak,short,1000,outbreak,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
30,late outbreak,short,1000,outbreak,sdlog,0.38,0.38,0.36,0.36,0.37,0.38,0.39,0.39,0.4,0.4
30,late outbreak,short,1000,outbreak,mean,3.5,3.5,3.4,3.5,3.5,3.5,3.6,3.6,3.6,3.6
30,late outbreak,short,1000,outbreak,sd,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5
31,near peak,long,1000,outbreak,meanlog,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8
31,near peak,long,1000,outbreak,sdlog,0.75,0.75,0.69,0.7,0.73,0.74,0.76,0.78,0.8,0.81
