id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
170,fast growth,long,200,exponential,2,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.8,1.9,1.9
171,fast growth,long,200,exponential,3,,meanlog,1.9,1.9,1.6,1.7,1.8,1.8,1.9,2,2.1,2.2
172,fast growth,long,200,exponential,4,,meanlog,1.7,1.7,1.4,1.5,1.6,1.6,1.7,1.8,1.9,1.9
173,fast growth,long,200,exponential,5,,meanlog,1.9,1.8,1.6,1.7,1.7,1.8,1.9,2,2.1,2.1
174,fast growth,long,200,exponential,6,,meanlog,1.8,1.8,1.5,1.6,1.7,1.7,1.8,1.9,2,2.1
175,fast growth,long,200,exponential,7,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.8,1.8,1.9,2
176,fast growth,long,200,exponential,8,,meanlog,2,2,1.7,1.7,1.8,1.9,2,2.1,2.3,2.4
177,fast growth,long,200,exponential,9,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,2,2
178,fast growth,long,200,exponential,10,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.8,1.9,1.9
179,fast growth,long,200,exponential,11,,meanlog,1.8,1.8,1.5,1.6,1.7,1.7,1.8,1.9,2,2.1
180,fast growth,long,200,exponential,12,,meanlog,1.8,1.8,1.5,1.6,1.7,1.7,1.8,1.9,2,2
181,fast growth,long,200,exponential,13,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,2,2.1
182,fast growth,long,200,exponential,14,,meanlog,1.9,1.9,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3
183,fast growth,long,200,exponential,15,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.8,1.9,2,2.1
184,fast growth,long,200,exponential,16,,meanlog,1.8,1.8,1.5,1.6,1.7,1.7,1.8,1.9,2,2
185,fast growth,long,200,exponential,17,,meanlog,1.9,1.8,1.6,1.6,1.7,1.8,1.9,2,2.1,2.2
186,fast growth,long,200,exponential,18,,meanlog,1.8,1.7,1.5,1.5,1.6,1.7,1.8,1.9,2,2
187,fast growth,long,200,exponential,19,,meanlog,1.8,1.8,1.5,1.5,1.6,1.7,1.8,1.9,2,2
188,fast growth,long,200,exponential,20,,meanlog,2,1.9,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3
189,fast growth,medium,200,exponential,1,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9
190,fast growth,medium,200,exponential,2,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
191,fast growth,medium,200,exponential,3,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.8
192,fast growth,medium,200,exponential,4,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8
193,fast growth,medium,200,exponential,5,,meanlog,1.5,1.5,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.7
194,fast growth,medium,200,exponential,6,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
195,fast growth,medium,200,exponential,7,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.8,1.8,1.9,2
196,fast growth,medium,200,exponential,8,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2
197,fast growth,medium,200,exponential,9,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8
198,fast growth,medium,200,exponential,10,,meanlog,1.6,1.6,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8
199,fast growth,medium,200,exponential,11,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
200,fast growth,medium,200,exponential,12,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.8
201,fast growth,medium,200,exponential,13,,meanlog,1.6,1.6,1.4,1.4,1.5,1.6,1.6,1.7,1.8,1.8
202,fast growth,medium,200,exponential,14,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
203,fast growth,medium,200,exponential,15,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
204,fast growth,medium,200,exponential,16,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.7
205,fast growth,medium,200,exponential,17,,meanlog,1.5,1.5,1.3,1.4,1.4,1.5,1.6,1.6,1.7,1.7
206,fast growth,medium,200,exponential,18,,meanlog,1.6,1.6,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8
207,fast growth,medium,200,exponential,19,,meanlog,1.5,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
208,fast growth,medium,200,exponential,20,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8
209,fast growth,short,200,exponential,1,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.4,1.4
210,fast growth,short,200,exponential,2,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.4
211,fast growth,short,200,exponential,3,,meanlog,1.2,1.2,1,1,1.1,1.2,1.2,1.3,1.4,1.4
212,fast growth,short,200,exponential,4,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
213,fast growth,short,200,exponential,5,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.4,1.4
214,fast growth,short,200,exponential,6,,meanlog,1.2,1.3,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4
215,fast growth,short,200,exponential,7,,meanlog,1.3,1.3,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.4
