scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,min_ess_bulk,min_ess_tail,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
fast growth,long,200,exponential,173,5,,3000,1,811.48,614,0,0,7,107,0.0356666666666667,17.6
fast growth,long,200,exponential,174,6,,3000,1,929.39,811,0,0,7,137,0.0456666666666667,16.7
fast growth,long,200,exponential,175,7,,3000,1,878.04,774,0,0,7,253,0.0843333333333333,18.8
fast growth,long,200,exponential,176,8,,4000,1,1172.01,924,0,0,7,69,0.01725,13.6
fast growth,long,200,exponential,177,9,,4000,1,1200.69,1047,0,0,7,32,0.008,12.6
fast growth,long,200,exponential,178,10,,4000,1,1156.01,859,0,0,7,185,0.04625,15.7
fast growth,long,200,exponential,179,11,,4000,1,1090.32,576,0,0,7,68,0.017,14.1
fast growth,long,200,exponential,180,12,,3000,1,789.23,915,0,0,7,139,0.0463333333333333,15.8
fast growth,long,200,exponential,181,13,,4000,1,1114.94,1153,0,0,7,181,0.04525,19.1
fast growth,long,200,exponential,182,14,,4000,1,1154.66,927,0,0,7,64,0.016,16.3
fast growth,long,200,exponential,183,15,,4000,1,1241.43,985,0,0,8,17,0.00425,21.7
fast growth,long,200,exponential,184,16,,4000,1,1159.73,766,0,0,7,64,0.016,13.4
fast growth,long,200,exponential,185,17,,3000,1,707.09,537,0,0,7,308,0.102666666666667,18.3
fast growth,long,200,exponential,186,18,,4000,1,1047.9,883,0,0,7,106,0.0265,15.5
fast growth,long,200,exponential,187,19,,4000,1,806.85,729,0,0,7,201,0.05025,17.1
fast growth,long,200,exponential,188,20,,4000,1,1164.16,1046,0,0,7,285,0.07125,18.5
fast growth,medium,200,exponential,189,1,,4000,1,980.4,825,0,0,7,140,0.035,17.2
fast growth,medium,200,exponential,190,2,,4000,1,1110.18,1073,0,0,7,246,0.0615,18.3
fast growth,medium,200,exponential,191,3,,4000,1,1216.12,1052,0,0,7,602,0.1505,21.2
fast growth,medium,200,exponential,192,4,,4000,1,1351.17,906,0,0,7,487,0.12175,19.9
fast growth,medium,200,exponential,193,5,,4000,1,1096.85,991,0,0,7,208,0.052,19
fast growth,medium,200,exponential,194,6,,4000,1,1191.48,1074,0,0,7,37,0.00925,11.9
fast growth,medium,200,exponential,195,7,,4000,1,1138.85,1043,0,0,7,368,0.092,20.9
fast growth,medium,200,exponential,196,8,,4000,1,1244.39,1028,0,0,7,195,0.04875,17
fast growth,medium,200,exponential,197,9,,4000,1,1162.36,887,0,0,7,78,0.0195,17
fast growth,medium,200,exponential,198,10,,4000,1,1159.14,762,0,0,7,235,0.05875,18.7
fast growth,medium,200,exponential,199,11,,4000,1,1052,1320,0,0,7,170,0.0425,17.8
fast growth,medium,200,exponential,200,12,,4000,1,953.02,1091,0,0,7,76,0.019,13.9
fast growth,medium,200,exponential,201,13,,4000,1,929.43,995,0,0,7,403,0.10075,20.9
fast growth,medium,200,exponential,202,14,,4000,1,1159.76,1163,0,0,7,224,0.056,17.5
fast growth,medium,200,exponential,203,15,,4000,1,1029.44,907,0,0,7,188,0.047,16.4
