scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
growth,long,200,exponential,248,20,,4000,1,0,0,4,136,0.034,2.9
growth,medium,200,exponential,249,1,,4000,1,0,0,3,1213,0.30325,2.5
growth,medium,200,exponential,250,2,,4000,1,0,0,4,85,0.02125,2.7
growth,medium,200,exponential,251,3,,4000,1,0,0,4,15,0.00375,2.6
growth,medium,200,exponential,252,4,,4000,1,0,0,4,41,0.01025,2.7
growth,medium,200,exponential,253,5,,4000,1,0,0,3,1351,0.33775,2.5
growth,medium,200,exponential,254,6,,4000,1,0,0,4,34,0.0085,2.7
growth,medium,200,exponential,255,7,,4000,1,0,0,3,1607,0.40175,2.5
growth,medium,200,exponential,256,8,,4000,1,0,0,4,36,0.009,2.7
growth,medium,200,exponential,257,9,,4000,1,0,0,4,61,0.01525,2.7
growth,medium,200,exponential,258,10,,4000,1,0,0,4,42,0.0105,2.6
growth,medium,200,exponential,259,11,,4000,1,0,0,3,1149,0.28725,2.5
growth,medium,200,exponential,260,12,,4000,1,0,0,4,70,0.0175,2.8
growth,medium,200,exponential,261,13,,4000,1,0,0,4,40,0.01,2.7
growth,medium,200,exponential,262,14,,4000,1,0,0,3,1515,0.37875,2.6
growth,medium,200,exponential,263,15,,4000,1,0,0,4,1,0.00025,2.6
growth,medium,200,exponential,264,16,,4000,1,0,0,4,44,0.011,2.6
growth,medium,200,exponential,265,17,,4000,1,0,0,4,39,0.00975,2.7
growth,medium,200,exponential,266,18,,4000,1,0,0,4,50,0.0125,2.6
growth,medium,200,exponential,267,19,,4000,1,0,0,4,5,0.00125,2.8
growth,medium,200,exponential,268,20,,4000,1,0,0,4,53,0.01325,2.7
growth,short,200,exponential,269,1,,4000,1,0,0,3,1721,0.43025,2.6
growth,short,200,exponential,270,2,,4000,1,0,0,3,1483,0.37075,2.6
growth,short,200,exponential,271,3,,4000,1,0,0,3,1654,0.4135,2.5
growth,short,200,exponential,272,4,,4000,1,0,0,3,1623,0.40575,2.5
growth,short,200,exponential,273,5,,4000,1,1,0.00025,3,1754,0.4385,2.6
