scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
stable,medium,200,exponential,321,13,,4000,1,0,0,3,1653,0.41325,0.4
stable,medium,200,exponential,322,14,,4000,1,0,0,3,1517,0.37925,0.5
stable,medium,200,exponential,323,15,,4000,1,0,0,3,1682,0.4205,0.5
stable,medium,200,exponential,324,16,,4000,1,0,0,3,1685,0.42125,0.5
stable,medium,200,exponential,325,17,,4000,1,0,0,3,1668,0.417,0.5
stable,medium,200,exponential,326,18,,4000,1,0,0,3,1571,0.39275,0.4
stable,medium,200,exponential,327,19,,4000,1,0,0,3,1701,0.42525,0.4
stable,medium,200,exponential,328,20,,4000,1,0,0,3,1593,0.39825,0.5
stable,short,200,exponential,329,1,,4000,1,0,0,3,1528,0.382,0.5
stable,short,200,exponential,330,2,,4000,1,0,0,3,1621,0.40525,0.5
stable,short,200,exponential,331,3,,4000,1,0,0,3,1487,0.37175,0.4
stable,short,200,exponential,332,4,,4000,1,0,0,3,1770,0.4425,0.4
stable,short,200,exponential,333,5,,4000,1,0,0,3,1546,0.3865,0.5
stable,short,200,exponential,334,6,,4000,1,0,0,3,1597,0.39925,0.5
stable,short,200,exponential,335,7,,4000,1,0,0,3,1613,0.40325,0.5
stable,short,200,exponential,336,8,,4000,1,0,0,3,1512,0.378,0.4
stable,short,200,exponential,337,9,,4000,1,0,0,3,1594,0.3985,0.4
stable,short,200,exponential,338,10,,4000,1,0,0,3,1583,0.39575,0.4
stable,short,200,exponential,339,11,,4000,1,0,0,3,1663,0.41575,0.4
