scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
fast growth,medium,200,exponential,184,8,,4000,1.01,0,0,5,4000,1,6.3
fast growth,medium,200,exponential,185,9,,4000,1.01,0,0,5,4000,1,6.3
fast growth,medium,200,exponential,186,10,,4000,1.01,0,0,5,4000,1,6.3
fast growth,medium,200,exponential,187,11,,4000,1.01,0,0,5,4000,1,6.3
fast growth,medium,200,exponential,188,12,,4000,1.01,0,0,5,4000,1,11.4
fast growth,medium,200,exponential,189,13,,4000,1.01,0,0,5,4000,1,6.2
fast growth,medium,200,exponential,190,14,,4000,1.01,0,0,5,4000,1,6.1
fast growth,medium,200,exponential,191,15,,4000,1.01,0,0,5,4000,1,6.3
fast growth,medium,200,exponential,192,16,,4000,1.01,0,0,5,3999,0.99975,6.1
fast growth,medium,200,exponential,193,17,,4000,1.01,0,0,5,4000,1,6.4
fast growth,medium,200,exponential,194,18,,4000,1.01,0,0,5,4000,1,6.3
fast growth,medium,200,exponential,195,19,,4000,1.01,0,0,5,4000,1,6.2
fast growth,medium,200,exponential,196,20,,4000,1.01,0,0,5,4000,1,6.5
fast growth,short,200,exponential,197,1,,4000,1.01,0,0,5,4000,1,6.9
fast growth,short,200,exponential,198,2,,4000,1.01,0,0,5,4000,1,6.6
fast growth,short,200,exponential,199,3,,4000,1.01,0,0,5,4000,1,6.8
fast growth,short,200,exponential,200,4,,4000,1.01,0,0,5,4000,1,6.8
fast growth,short,200,exponential,201,5,,4000,1.01,0,0,5,4000,1,6.6
fast growth,short,200,exponential,202,6,,4000,1.01,0,0,5,4000,1,6.8
fast growth,short,200,exponential,203,7,,4000,1.01,0,0,5,3989,0.99725,7
fast growth,short,200,exponential,204,8,,4000,1.01,0,0,5,3999,0.99975,7
fast growth,short,200,exponential,205,9,,4000,1.01,0,0,5,4000,1,6.9
fast growth,short,200,exponential,206,10,,4000,1.01,0,0,5,4000,1,7
fast growth,short,200,exponential,207,11,,4000,1.01,0,0,5,4000,1,6.8
fast growth,short,200,exponential,208,12,,4000,1.01,0,0,5,4000,1,6.9
fast growth,short,200,exponential,209,13,,4000,1.01,0,0,5,4000,1,6.9
fast growth,short,200,exponential,210,14,,4000,1.01,0,0,5,4000,1,6.9
fast growth,short,200,exponential,211,15,,4000,1.01,0,0,5,4000,1,6.9
fast growth,short,200,exponential,212,16,,4000,1.01,0,0,5,4000,1,6.7
fast growth,short,200,exponential,213,17,,4000,1.01,0,0,5,4000,1,6.6
fast growth,short,200,exponential,214,18,,4000,1.01,0,0,5,3998,0.9995,6.8
fast growth,short,200,exponential,215,19,,4000,1.01,0,0,5,3981,0.99525,6.9
fast growth,short,200,exponential,216,20,,4000,1.01,0,0,5,3999,0.99975,6.9
growth,long,200,exponential,217,1,,4000,1.01,0,0,5,3997,0.99925,6.4
growth,long,200,exponential,218,2,,4000,1.01,0,0,6,1,0.00025,6
growth,long,200,exponential,219,3,,4000,1.01,0,0,5,4000,1,6.4
growth,long,200,exponential,220,4,,4000,1.01,0,0,5,4000,1,6.2
growth,long,200,exponential,221,5,,4000,1.01,0,0,5,3999,0.99975,6.2
growth,long,200,exponential,222,6,,4000,1.01,0,0,5,4000,1,6.3
growth,long,200,exponential,223,7,,4000,1.01,0,0,5,3995,0.99875,6.1
growth,long,200,exponential,224,8,,4000,1.01,0,0,5,4000,1,6.3
growth,long,200,exponential,225,9,,4000,1.01,0,0,5,4000,1,6.4
growth,long,200,exponential,226,10,,4000,1.01,0,0,5,4000,1,6.5
growth,long,200,exponential,227,11,,4000,1.01,0,0,5,4000,1,6.3
growth,long,200,exponential,228,12,,4000,1.01,0,0,5,4000,1,7.3
growth,long,200,exponential,229,13,,4000,1.01,0,0,5,4000,1,6.3
growth,long,200,exponential,230,14,,4000,1.01,0,0,5,4000,1,6.3
growth,long,200,exponential,231,15,,4000,1.01,0,0,5,4000,1,6.1
growth,long,200,exponential,232,16,,4000,1.01,0,0,5,4000,1,6.4
growth,long,200,exponential,233,17,,4000,1.01,0,0,5,4000,1,6.3
growth,long,200,exponential,234,18,,4000,1.01,0,0,5,3999,0.99975,6.4
growth,long,200,exponential,235,19,,4000,1.01,0,0,5,4000,1,6.4
growth,long,200,exponential,236,20,,4000,1.01,0,0,5,4000,1,6.3
