scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
growth,medium,200,exponential,249,1,,4000,1,0,0,3,1263,0.31575,1
growth,medium,200,exponential,250,2,,4000,1,0,0,3,1418,0.3545,1.1
growth,medium,200,exponential,251,3,,4000,1,0,0,3,1433,0.35825,1.1
growth,medium,200,exponential,252,4,,4000,1,0,0,3,1492,0.373,1.1
growth,medium,200,exponential,253,5,,4000,1,0,0,3,1659,0.41475,1.1
growth,medium,200,exponential,254,6,,4000,1,0,0,3,1529,0.38225,1.1
growth,medium,200,exponential,255,7,,4000,1,0,0,3,1558,0.3895,1
growth,medium,200,exponential,256,8,,4000,1,0,0,3,1521,0.38025,1.1
growth,medium,200,exponential,257,9,,4000,1,0,0,3,1642,0.4105,1.1
growth,medium,200,exponential,258,10,,4000,1,0,0,3,1601,0.40025,1
growth,medium,200,exponential,259,11,,4000,1,0,0,3,1366,0.3415,1
growth,medium,200,exponential,260,12,,4000,1,0,0,3,1551,0.38775,1.1
growth,medium,200,exponential,261,13,,4000,1,0,0,3,1463,0.36575,1
growth,medium,200,exponential,262,14,,4000,1,0,0,3,1449,0.36225,1.1
growth,medium,200,exponential,263,15,,4000,1,0,0,3,1613,0.40325,1.1
growth,medium,200,exponential,264,16,,4000,1,0,0,3,1544,0.386,1
growth,medium,200,exponential,265,17,,4000,1,0,0,3,1546,0.3865,1
growth,medium,200,exponential,266,18,,4000,1,0,0,3,1574,0.3935,1.1
growth,medium,200,exponential,267,19,,4000,1,0,0,3,1509,0.37725,1
growth,medium,200,exponential,268,20,,4000,1,0,0,3,1688,0.422,1.1
growth,short,200,exponential,269,1,,4000,1,0,0,3,1618,0.4045,0.9
growth,short,200,exponential,270,2,,4000,1,0,0,3,1114,0.2785,0.9
growth,short,200,exponential,271,3,,4000,1,0,0,3,1441,0.36025,1.1
growth,short,200,exponential,272,4,,4000,1,0,0,3,1425,0.35625,1.1
